tweet_id,text,created_at,author_id,retweet_count,reply_count,like_count,quote_count,sentiment,sentiment_score,primary_topic,topics,games,companies,platforms,people,content_type,summary,analyzed_at
2001656770645615013,@Lexar_Gaming I need one @jonanarranzz,2025-12-18 14:12:17+00:00,1514991564174635012,0,0,0,0,positive,0.7,product request,"['gaming hardware', 'product desire', 'social mention']",[],['Lexar Gaming'],[],['jonanarranzz'],other,User expresses need for a Lexar Gaming product while tagging another user.,2026-01-10 11:35:17.635985
2001656753029550085,Cleared the bs reposts off my profile. Kept the gaming reposts 🎮❤️,2025-12-18 14:12:13+00:00,1880073685794447360,0,0,0,0,neutral,0.6,profile cleanup,"['social media management', 'content curation', 'gaming preferences']",[],[],[],[],other,User cleaned their social media profile by removing non-gaming reposts while keeping gaming-related content.,2026-01-10 11:35:21.558546
2001656732943040516,"@OBE1plays That would be all of my favourite gaming under one roof.

Nintendo and Square Enix, for me, ARE video games.",2025-12-18 14:12:08+00:00,1122515293870231553,0,0,0,0,positive,0.9,gaming preferences,"['gaming companies', 'favorite games', 'brand loyalty']",[],"['Nintendo', 'Square Enix']",[],['OBE1plays'],discussion,User expresses strong preference for Nintendo and Square Enix as their favorite gaming companies that represent video games to them.,2026-01-10 11:35:25.692536
2001656725246521571,"The most dangerous player in efootball 
#eFootball2026 #eFootball #eafc26 #ufl #goals #fc26 #gaming #football #ps5 https://t.co/UkDWyuVf1l https://t.co/XZCog18mKj",2025-12-18 14:12:06+00:00,1491794006031802368,0,0,0,0,positive,0.7,eFootball gameplay,"['eFootball skills', 'player performance', 'football gaming']","['eFootball', 'EA FC', 'UFL']",[],['PS5'],[],excitement,Player boasting about being the most dangerous player in eFootball with gameplay content.,2026-01-10 11:35:30.150225
2001656700269445349,@CommodoreBlog This was peak C64 gaming.,2025-12-18 14:12:00+00:00,19237341,0,0,0,0,positive,0.8,retro gaming,"['retro gaming', 'C64', 'nostalgia']",[],['Commodore'],['C64'],[],discussion,User expresses nostalgia about Commodore 64 gaming being at its peak.,2026-01-10 11:35:33.981522
2001656693273636910,I’m calling bs #shorts #gtaonline #gta5 #gaming #fyp #ps5 #degenerate #g... https://t.co/QOw9gyfIWP via @YouTube,2025-12-18 14:11:59+00:00,1634954637383028737,0,0,0,0,negative,0.2,GTA complaint,"['GTA Online', 'gaming controversy', 'social media content']","['GTA Online', 'GTA 5']",['YouTube'],"['PS5', 'YouTube']",[],complaint,Player expressing disbelief or calling out something questionable in GTA Online while sharing video content.,2026-01-10 11:35:38.625138
2001656676517134534,@DJK1NG_Gaming I do have a question tho because you basically just described EVERY boss battle since 8 bit the difference now being you can go in circles not just back n forth,2025-12-18 14:11:55+00:00,1402284685347147781,0,0,0,0,neutral,0.5,boss battles,"['boss battles', 'game mechanics', 'gaming history']",[],[],['8 bit'],['DJK1NG_Gaming'],question,"User questions whether modern boss battles are fundamentally different from classic 8-bit era boss fights, suggesting the main change is movement patterns.",2026-01-10 11:35:43.131588
2001656675032244527,"Champions of Tabletop: Wizards Asylum in Wichita, KS. 

At Frontline Gaming, we believe local game stores are the backbone of the tabletop hobby. 
Today, we’re excited to spotlight Wizard’s Alley!

https://t.co/Xdu13Ljuk5

#flgs #tabletopgaming #wizardsalley https://t.co/johzrJCNDb",2025-12-18 14:11:54+00:00,607503601,0,0,0,0,positive,0.8,game store,"['local game stores', 'tabletop gaming', 'community spotlight']",[],"['Frontline Gaming', 'Wizards Asylum', ""Wizard's Alley""]",[],[],news,"Frontline Gaming is spotlighting Wizard's Alley game store in Wichita, KS as part of their Champions of Tabletop series celebrating local game stores.",2026-01-10 11:35:47.354090
2001656663548604458,"@anitaahuja121 @S_N_GAMING Bilkul 
Good evening 👍👍",2025-12-18 14:11:52+00:00,1483114193524260864,0,0,0,0,positive,0.8,social greeting,"['greeting', 'social interaction', 'gaming community']",[],[],[],"['anitaahuja121', 'S_N_GAMING']",other,A friendly evening greeting exchange between gaming community members.,2026-01-10 11:35:50.947076
2001656645827649767,@Jaxon0x Solana gaming meta is heating up,2025-12-18 14:11:48+00:00,951260786046926848,0,0,0,0,positive,0.8,Solana gaming,"['Solana', 'gaming meta', 'blockchain gaming']",[],[],['Solana'],['Jaxon0x'],excitement,User expressing enthusiasm about the growing momentum in Solana-based gaming.,2026-01-10 11:35:55.015514
2001656634599481605,"@AnhHc8 @TauntCoin If Web3 gaming is about immersion rather than mechanics, this direction makes a lot of sense.",2025-12-18 14:11:45+00:00,106268675,0,0,0,0,positive,0.7,Web3 gaming,"['Web3 gaming', 'game immersion', 'game mechanics']",[],['TauntCoin'],[],['AnhHc8'],discussion,User agrees that focusing on immersion over mechanics is a sensible direction for Web3 gaming.,2026-01-10 11:35:58.962164
2001656592685502563,"Hey, so, can we get rid of difficulties in gaming? Maybe that way we'd get rid of IGN reviews if they can't make it pass the tutorial. Why do we have even it? The 90s and 2000s, there wasn't hardly any. Elden Ring doesn't AND IT WON GOTY. 😐 You can't finish it? Oh well! 🤷‍♀️",2025-12-18 14:11:35+00:00,1890824787334709249,0,0,0,0,negative,0.3,game difficulty,"['difficulty settings', 'game reviews', 'accessibility', 'game design']",['Elden Ring'],['IGN'],[],[],complaint,"User argues against difficulty options in games, criticizing IGN reviews and citing Elden Ring's success without difficulty settings.",2026-01-10 11:36:03.348253
2001656583974195491,"@yarhuter Exploring NFTs, DeFi projects, and blockchain gaming. Innovating!",2025-12-18 14:11:33+00:00,1915912896,0,0,0,0,positive,0.8,blockchain gaming,"['NFTs', 'DeFi', 'blockchain gaming', 'innovation']",[],[],[],['yarhuter'],excitement,"User expresses enthusiasm about exploring NFTs, DeFi projects, and blockchain gaming innovations.",2026-01-10 11:36:07.085239
2001656583676362971,@DJK1NG_Gaming Niggas when a game doesn’t have guns or balls in it https://t.co/KicRQHQGqt,2025-12-18 14:11:33+00:00,954763967943073794,0,0,0,0,negative,0.3,game preferences,"['gaming preferences', 'game genres', 'community discussion']",[],[],[],['DJK1NG_Gaming'],discussion,A reply commenting on gamers' reactions to games that don't feature guns or sports content.,2026-01-10 11:36:11.404504
2001656581537329267,"looking for interactive moots 

-26 / she / her

-Music (BMTH,Neck deep,sleep token,bad omens)

-games(Zelda,resident evil,RuneScape,Fortnite

-Anime(AOT,death note, chainsaw man,dandadan) 

♡/↺if you wanna be moots:)

#anitwt #gaming #moothunt #musictwt

#promotwt https://t.co/2NwDJWp15h",2025-12-18 14:11:32+00:00,898999004591255554,0,0,1,0,positive,0.8,friend seeking,"['social networking', 'gaming', 'anime', 'music']","['Zelda', 'Resident Evil', 'RuneScape', 'Fortnite']",[],['Twitter'],[],other,"A 26-year-old gamer is seeking interactive friends who share interests in specific games, anime, and music genres.",2026-01-10 11:36:15.787913
2001656537224499201,@2_Old_4_Gaming Just noticed you already had need for speed,2025-12-18 14:11:22+00:00,1061591887109373954,0,0,0,0,neutral,0.5,game observation,"['need for speed', 'gaming collection', 'casual observation']",['Need for Speed'],[],[],['@2_Old_4_Gaming'],discussion,User casually mentions noticing that another gamer already owns Need for Speed.,2026-01-10 11:36:20.045367
2001656532036128843,@Lutra_Gaming We all need a little comfort in times of war.,2025-12-18 14:11:20+00:00,1599908660532359168,0,0,1,0,neutral,0.4,gaming comfort,"['comfort gaming', 'war context', 'community support']",[],[],[],['Lutra_Gaming'],discussion,A response to Lutra_Gaming suggesting that gaming provides comfort during difficult times of conflict.,2026-01-10 11:36:24.189884
2001656510829728235,@proaleena Payal gaming available on my profile 🫣🫣 https://t.co/RhE0abV9U1,2025-12-18 14:11:15+00:00,1686710286991192064,0,0,0,0,neutral,0.6,content promotion,"['gaming content', 'profile promotion', 'social media']",[],[],[],['proaleena'],other,User promoting gaming content available on their profile to another user.,2026-01-10 11:36:28.494799
2001656507184943106,"Clock is ticking....... RUN!!!! 

@OnceHuman_  @OnceHuman_JP 

#OnceHuman #gaming #openworld #OnceHumanMobile #VirtualPhotography #VPWorld  #VPHiddenGems #VPCONTEXT #VPGAMERS https://t.co/EyxLDRhCRo",2025-12-18 14:11:14+00:00,1962846490474483713,0,0,0,0,positive,0.8,game promotion,"['gaming', 'open world', 'mobile gaming', 'virtual photography']",['Once Human'],[],['mobile'],[],excitement,Excited promotional post about Once Human game featuring virtual photography with urgent action-themed messaging.,2026-01-10 11:36:32.626465
2001656497160491172,"@MMs_Gaming_Co Happy #ThumbsUpThursday !

Our first game #Barfender is a Co-op bar simulator
Built for friends! 🍻 Built for chaos! 🤡
https://t.co/LEwXRUgsqc",2025-12-18 14:11:12+00:00,1998882519035543552,0,0,0,0,positive,0.8,game promotion,"['game announcement', 'co-op gaming', 'bar simulator']",['Barfender'],['MMs_Gaming_Co'],[],[],excitement,Developer promoting their co-op bar simulator game Barfender as part of ThumbsUpThursday celebration.,2026-01-10 11:36:36.778423
2001656472535450109,"If you are looking for the latest New Game Trailer check out this YouTube Video: GTA 6 trailer 😱😱#gta6trailer #gta6graphics #gta6 #trendingreels #viralthisshorts #newgame #trending https://t.co/dENzqrnENh

#Trailers #Gaming #NewGame #GameTrailer",2025-12-18 14:11:06+00:00,760533323756240896,0,0,0,0,positive,0.8,GTA 6 trailer,"['game trailer', 'GTA 6', 'video promotion']",['GTA 6'],[],['YouTube'],[],excitement,User excitedly promotes a GTA 6 trailer video on YouTube with multiple trending hashtags.,2026-01-10 11:36:41.098725
2001656457184579980,"Daily Promotion 🔥🚀📢

🔹Like🩷
🔹Reposts♻️
🔹Comments ✍️
🔹Drops link yt/twitch/kick↩️

📩Dm me  for special promo🩷

#kick #DragonAge #BioWare #RPGStreamer #LiveNow
#twitch #gaming
#youtube @ProStreamerRTR

Follow 🫵@SevyrGaming

Subscribe 🙏
https://t.co/IH2yvTCXMw https://t.co/3xiVmNIj3O",2025-12-18 14:11:03+00:00,4901736074,2,1,3,0,positive,0.8,stream promotion,"['streaming', 'promotion', 'social media engagement']",['Dragon Age'],['BioWare'],"['Kick', 'Twitch', 'YouTube']","['ProStreamerRTR', 'SevyrGaming']",excitement,A streamer promoting their content across multiple platforms while asking for engagement and offering special promotions for Dragon Age RPG streaming.,2026-01-10 11:36:45.956936
2001656454026338565,"Check out Lords Of Gaming article by @CUnit123123  Always writing wonderful stuff 

Here is his write up on Video Game Worlds to Live In or Be Trapped In

Link 👇🏽👇🏽👇🏽
https://t.co/X5YjW6zaiz",2025-12-18 14:11:02+00:00,2923474696,0,0,0,0,positive,0.8,gaming article,"['gaming journalism', 'article promotion', 'game worlds']",[],['Lords Of Gaming'],[],['CUnit123123'],news,"A positive promotion of a Lords Of Gaming article about video game worlds to live in or be trapped in, written by CUnit123123.",2026-01-10 11:36:50.144833
